"INF06_01","INF06_02","INF06_03","INF24_01","INF24_02","INF24_03","INF48_01","INF48_02","INF48_03","CON06_01","CON06_02","CON06_03","CON24_01","CON24_02","CON24_03","CON48_01","CON48_02","CON48_03"
472,223,223,206,0,404,50,495,619,451,468,468,429,298,537,34,12541,275
72,222,222,15,0,0,764,0,0,504,0,0,496,0,66,6,325,6
162,130,130,126,55,57,166,63,192,142,115,115,152,162,173,162,180,171
0,87,87,124,0,0,100,0,0,106,133,133,127,114,196,155,140,0
182,86,86,0,0,62,153,0,146,129,0,0,256,167,123,189,0,39
6053,13106,13106,11820,9583,11145,9070,13019,12696,6234,7043,7043,13309,10061,9249,13982,14453,16465
3248,0,0,0,3679,3570,4631,4625,0,4934,5494,5494,3762,0,3743,3674,0,4521
0,0,0,0,0,0,0,0,0,112,76,76,158,0,171,98,0,211
0,0,0,13,0,43,41,0,149,0,43,43,72,0,0,0,0,108
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,76,0
0,0,0,8,0,140,0,0,0,381,90,90,0,0,0,0,89,0
0,62,62,0,80,80,0,78,0,0,64,64,0,0,59,81,164,125
50,58,58,47,91,0,73,23,0,90,79,79,51,44,231,226,242,83
0,0,0,0,0,0,70,0,89,0,0,0,0,0,0,0,0,0
